Crop,Water_Requirement_mm,Growth_Period_days,Critical_Stages,Yield_kg_per_ha,Water_Efficiency
"Rice",1200,120,"Flowering,Grain Filling",2500,"Medium"
"Wheat",600,100,"Flowering,Grain Filling",3000,"High"
"Maize",700,90,"Flowering,Grain Filling",4000,"Medium"
"Sugarcane",2000,365,"Grand Growth,Flowering",80000,"Low"
"Cotton",800,150,"Flowering,Boll Development",800,"Medium"
"Soybean",500,90,"Flowering,Pod Filling",2000,"High"
"Groundnut",600,120,"Flowering,Pod Development",1500,"Medium"
"Sunflower",500,100,"Flowering,Seed Development",1500,"High"
"Sorghum",400,100,"Flowering,Grain Filling",2000,"High"
"Pearl Millet",300,80,"Flowering,Grain Filling",1500,"Very High"
"Chickpea",400,120,"Flowering,Pod Development",1200,"High"
"Pigeon Pea",500,150,"Flowering,Pod Development",1000,"Medium"
"Black Gram",350,90,"Flowering,Pod Development",800,"High"
"Green Gram",300,70,"Flowering,Pod Development",600,"Very High"
"Tomato",600,90,"Flowering,Fruit Development",25000,"Medium"
"Onion",400,120,"Bulb Formation,Bulb Development",20000,"High"
"Potato",500,90,"Tuber Initiation,Tuber Development",20000,"Medium"
"Chili",400,120,"Flowering,Fruit Development",8000,"Medium"
"Brinjal",500,120,"Flowering,Fruit Development",15000,"Medium"
"Okra",400,90,"Flowering,Fruit Development",8000,"Medium"
"Cabbage",300,90,"Head Formation,Head Development",25000,"High"
"Cauliflower",350,100,"Curd Formation,Curd Development",15000,"High"
"Carrot",300,90,"Root Development,Root Maturation",20000,"High"
"Radish",200,45,"Root Development,Root Maturation",15000,"Very High"
"Spinach",200,30,"Leaf Development,Leaf Maturation",8000,"Very High"
"Lettuce",150,45,"Leaf Development,Head Formation",10000,"Very High"
"Cucumber",400,60,"Flowering,Fruit Development",15000,"Medium"
"Bottle Gourd",500,90,"Flowering,Fruit Development",20000,"Medium"
"Ridge Gourd",400,90,"Flowering,Fruit Development",15000,"Medium"
"Bitter Gourd",400,90,"Flowering,Fruit Development",8000,"Medium"
"Watermelon",600,90,"Flowering,Fruit Development",25000,"Medium"
"Muskmelon",500,90,"Flowering,Fruit Development",15000,"Medium"
"Banana",2000,365,"Flowering,Bunch Development",30000,"Low"
"Mango",1000,365,"Flowering,Fruit Development",8000,"Medium"
"Orange",800,365,"Flowering,Fruit Development",15000,"Medium"
"Grape",600,180,"Flowering,Berry Development",10000,"Medium"
"Pomegranate",700,365,"Flowering,Fruit Development",8000,"Medium"
"Papaya",1000,365,"Flowering,Fruit Development",20000,"Medium"
"Coconut",1500,365,"Flowering,Nut Development",5000,"Low"